  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2415                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.885 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -18.750  -1.0850   0.09612   0.09279  -0.0406   1.0000   0.0229
 -18.500  -1.1033   0.08955   0.08612  -0.0441   1.0000   0.0230
 -18.250  -1.1226   0.08295   0.07942  -0.0477   1.0000   0.0232
 -18.000  -1.1429   0.07630   0.07266  -0.0513   1.0000   0.0233
 -17.750  -1.1625   0.06993   0.06617  -0.0547   1.0000   0.0234
 -17.500  -1.1805   0.06379   0.05991  -0.0581   1.0000   0.0235
 -17.250  -1.1957   0.05804   0.05403  -0.0613   1.0000   0.0237
 -17.000  -1.2075   0.05280   0.04867  -0.0643   1.0000   0.0238
 -16.750  -1.2153   0.04817   0.04392  -0.0670   1.0000   0.0240
 -16.500  -1.2195   0.04416   0.03978  -0.0693   1.0000   0.0242
 -16.250  -1.2201   0.04074   0.03624  -0.0712   1.0000   0.0243
 -16.000  -1.2286   0.03666   0.03205  -0.0731   1.0000   0.0246
 -15.750  -1.2335   0.03331   0.02861  -0.0742   1.0000   0.0249
 -15.500  -1.2332   0.03083   0.02605  -0.0746   1.0000   0.0253
 -15.250  -1.2292   0.02892   0.02408  -0.0744   1.0000   0.0256
 -15.000  -1.2228   0.02741   0.02249  -0.0737   1.0000   0.0259
 -14.750  -1.2154   0.02613   0.02115  -0.0727   1.0000   0.0263
 -14.500  -1.2073   0.02504   0.01999  -0.0713   1.0000   0.0267
 -14.250  -1.1993   0.02410   0.01899  -0.0695   1.0000   0.0271
 -14.000  -1.1920   0.02333   0.01815  -0.0671   1.0000   0.0275
 -13.750  -1.1885   0.02273   0.01748  -0.0636   1.0000   0.0278
 -13.500  -1.1877   0.02220   0.01688  -0.0593   1.0000   0.0281
 -13.250  -1.1905   0.02134   0.01599  -0.0547   1.0000   0.0286
 -13.000  -1.1869   0.02074   0.01537  -0.0509   1.0000   0.0291
 -12.750  -1.1798   0.02026   0.01486  -0.0476   1.0000   0.0296
 -12.500  -1.1708   0.01983   0.01440  -0.0445   1.0000   0.0302
 -12.250  -1.1521   0.01936   0.01388  -0.0433   0.9995   0.0309
 -12.000  -1.1215   0.01884   0.01330  -0.0444   0.9980   0.0316
 -11.750  -1.0923   0.01811   0.01252  -0.0455   0.9963   0.0325
 -11.500  -1.0618   0.01745   0.01186  -0.0467   0.9948   0.0336
 -11.250  -1.0293   0.01697   0.01135  -0.0481   0.9937   0.0347
 -11.000  -0.9982   0.01655   0.01089  -0.0491   0.9920   0.0357
 -10.750  -0.9688   0.01601   0.01030  -0.0499   0.9894   0.0369
 -10.500  -0.9378   0.01547   0.00977  -0.0510   0.9872   0.0384
 -10.250  -0.9047   0.01507   0.00935  -0.0524   0.9855   0.0398
 -10.000  -0.8704   0.01473   0.00896  -0.0539   0.9842   0.0410
  -9.750  -0.8372   0.01412   0.00837  -0.0555   0.9830   0.0431
  -9.500  -0.8019   0.01374   0.00799  -0.0573   0.9821   0.0450
  -9.250  -0.7722   0.01340   0.00761  -0.0578   0.9786   0.0468
  -9.000  -0.7421   0.01294   0.00718  -0.0585   0.9751   0.0492
  -8.750  -0.7097   0.01262   0.00684  -0.0595   0.9723   0.0514
  -8.500  -0.6783   0.01221   0.00642  -0.0604   0.9695   0.0540
  -8.250  -0.6524   0.01191   0.00613  -0.0600   0.9634   0.0567
  -8.000  -0.6250   0.01161   0.00581  -0.0599   0.9578   0.0595
  -7.750  -0.5982   0.01129   0.00550  -0.0597   0.9523   0.0629
  -7.500  -0.5728   0.01106   0.00525  -0.0591   0.9449   0.0659
  -7.250  -0.5464   0.01074   0.00494  -0.0587   0.9391   0.0703
  -7.000  -0.5207   0.01053   0.00472  -0.0582   0.9314   0.0742
  -6.750  -0.4946   0.01024   0.00446  -0.0578   0.9246   0.0794
  -6.500  -0.4682   0.01002   0.00423  -0.0574   0.9170   0.0845
  -6.250  -0.4417   0.00980   0.00401  -0.0570   0.9088   0.0906
  -6.000  -0.4151   0.00957   0.00380  -0.0567   0.9008   0.0974
  -5.750  -0.3882   0.00938   0.00360  -0.0564   0.8921   0.1044
  -5.500  -0.3613   0.00918   0.00342  -0.0561   0.8834   0.1130
  -5.250  -0.3345   0.00898   0.00323  -0.0558   0.8735   0.1224
  -5.000  -0.3074   0.00880   0.00307  -0.0556   0.8639   0.1326
  -4.750  -0.2802   0.00865   0.00291  -0.0553   0.8535   0.1433
  -4.500  -0.2529   0.00849   0.00277  -0.0551   0.8428   0.1553
  -4.250  -0.2259   0.00833   0.00263  -0.0548   0.8319   0.1690
